pmid,pmcid,doi,secondary_doi,collection_id,collection_name,source,image_name,map_type,image_file,collection_id.1,image_id,number_of_subjects,cognitive_paradigm_cogatlas_id,cognitive_contrast_cogatlas_id,contrast_definition,cognitive_paradigm_cogatlas_name,cognitive_contrast_cogatlas_name,image_path,contrast_id,id
28968426.0,5624616.0,10.1371/journal.pone.0185571,,1901,Neuroimaging of decoding and language comprehension in young very low birth weight (VLBW) adolescents: Indications for compensatory mechanisms,neurovault,Orthographic VLBW > NBW,T,images/1901/spmT_0001_1.nii.gz,1901,29240,24.0,trm_4f24250e0137e,,VLBW versus NBW - based on first level contrast orthographic versus baseline processing,orthographic task,None / Other,1901-29240_spmT_0001_1.nii.gz,"collection_id    1901
collection_id    1901
Name: 1080, dtype: object-29240","28968426.0-collection_id    1901
collection_id    1901
Name: 1080, dtype: object-29240"
33087746.0,7578048.0,10.1038/s41598-020-74489-9,,1541,A combined fMRI and EMG study of emotional contagion following partial sleep deprivation in young and older humans,neurovault,tmap full_sleep happy_vs_neutral t_test,T,images/1541/spmT_0001.nii.gz,1541,54846,72.0,trm_4c898cb4ada49,,Happy vs neutral faces,face monitor/discrimination,None / Other,1541-54846_spmT_0001.nii.gz,"collection_id    1541
collection_id    1541
Name: 1081, dtype: object-54846","33087746.0-collection_id    1541
collection_id    1541
Name: 1081, dtype: object-54846"
33087746.0,7578048.0,10.1038/s41598-020-74489-9,,1541,A combined fMRI and EMG study of emotional contagion following partial sleep deprivation in young and older humans,neurovault,tmap full_sleep angry_vs_neutral t_test,T,images/1541/spmT_0001_8.nii.gz,1541,54844,72.0,trm_4c898cb4ada49,,Angry vs neutral faces,face monitor/discrimination,None / Other,1541-54844_spmT_0001_8.nii.gz,"collection_id    1541
collection_id    1541
Name: 1082, dtype: object-54844","33087746.0-collection_id    1541
collection_id    1541
Name: 1082, dtype: object-54844"
29084981.0,5662713.0,10.1038/s41598-017-13938-4,,2814,Reinstatement of memory representations for lifelike events over the course of a week,neurovault,Tstat SFig03A Ret1Ret2 Vivid,T,images/2814/Tstat_SFig03A_Ret1Ret2-Vivid.nii.gz,2814,52462,21.0,trm_4c898c8bf1b4f,,Fisher corr contrast,episodic recall,None / Other,2814-52462_Tstat_SFig03A_Ret1Ret2-Vivid.nii.gz,"collection_id    2814
collection_id    2814
Name: 1083, dtype: object-52462","29084981.0-collection_id    2814
collection_id    2814
Name: 1083, dtype: object-52462"
29447377.0,5836278.0,,10.1093/scan/nsy011,3154,FIR maps: Behavioral and neural indices of affective coloring for neutral social stimuli,pubget,Valence TR 2,T,images/3154/Neg2-Pos2_tstat1.nii.gz,3154,56840,117.0,trm_550b5b066d37b,,,emotion processing fMRI task paradigm,None / Other,3154-56840_Neg2-Pos2_tstat1.nii.gz,"collection_id    3154
collection_id    3154
Name: 1084, dtype: object-56840","29447377.0-collection_id    3154
collection_id    3154
Name: 1084, dtype: object-56840"
29447377.0,5836278.0,,10.1093/scan/nsy011,3154,FIR maps: Behavioral and neural indices of affective coloring for neutral social stimuli,pubget,Valence TR 3,T,images/3154/Neg3-Pos3_tstat1.nii.gz,3154,56841,117.0,trm_550b5b066d37b,,,emotion processing fMRI task paradigm,None / Other,3154-56841_Neg3-Pos3_tstat1.nii.gz,"collection_id    3154
collection_id    3154
Name: 1085, dtype: object-56841","29447377.0-collection_id    3154
collection_id    3154
Name: 1085, dtype: object-56841"
29447377.0,5836278.0,,10.1093/scan/nsy011,3154,FIR maps: Behavioral and neural indices of affective coloring for neutral social stimuli,pubget,Valence TR 4,T,images/3154/Neg4-Pos4_tstat1.nii.gz,3154,56842,117.0,trm_550b5b066d37b,,,emotion processing fMRI task paradigm,None / Other,3154-56842_Neg4-Pos4_tstat1.nii.gz,"collection_id    3154
collection_id    3154
Name: 1086, dtype: object-56842","29447377.0-collection_id    3154
collection_id    3154
Name: 1086, dtype: object-56842"
29447377.0,5836278.0,,10.1093/scan/nsy011,3154,FIR maps: Behavioral and neural indices of affective coloring for neutral social stimuli,pubget,Valence TR 5,T,images/3154/Neg5-Pos5_tstat1.nii.gz,3154,56843,117.0,trm_550b5b066d37b,,,emotion processing fMRI task paradigm,None / Other,3154-56843_Neg5-Pos5_tstat1.nii.gz,"collection_id    3154
collection_id    3154
Name: 1087, dtype: object-56843","29447377.0-collection_id    3154
collection_id    3154
Name: 1087, dtype: object-56843"
29447377.0,5836278.0,,10.1093/scan/nsy011,3154,FIR maps: Behavioral and neural indices of affective coloring for neutral social stimuli,pubget,Valence TR 6,T,images/3154/Neg6-Pos6_tstat1.nii.gz,3154,56844,117.0,trm_550b5b066d37b,,,emotion processing fMRI task paradigm,None / Other,3154-56844_Neg6-Pos6_tstat1.nii.gz,"collection_id    3154
collection_id    3154
Name: 1088, dtype: object-56844","29447377.0-collection_id    3154
collection_id    3154
Name: 1088, dtype: object-56844"
29447377.0,5836278.0,,10.1093/scan/nsy011,3154,FIR maps: Behavioral and neural indices of affective coloring for neutral social stimuli,pubget,Valence TR 7,T,images/3154/Neg7-Pos7_tstat1.nii.gz,3154,56845,117.0,trm_550b5b066d37b,,,emotion processing fMRI task paradigm,None / Other,3154-56845_Neg7-Pos7_tstat1.nii.gz,"collection_id    3154
collection_id    3154
Name: 1089, dtype: object-56845","29447377.0-collection_id    3154
collection_id    3154
Name: 1089, dtype: object-56845"
29447377.0,5836278.0,,10.1093/scan/nsy011,3154,FIR maps: Behavioral and neural indices of affective coloring for neutral social stimuli,pubget,Valence TR 1,T,images/3154/Neg1-Pos1_tstat1.nii.gz,3154,56839,117.0,trm_550b5b066d37b,,,emotion processing fMRI task paradigm,None / Other,3154-56839_Neg1-Pos1_tstat1.nii.gz,"collection_id    3154
collection_id    3154
Name: 1090, dtype: object-56839","29447377.0-collection_id    3154
collection_id    3154
Name: 1090, dtype: object-56839"
29107769.0,,10.1016/j.neuroimage.2017.10.057,,2199,The evaluative role of Rostrolateral prefrontal cortex in rule-based category learning,neurovault,Rule Application Matching > 0,T,images/2199/rand_1_1_tstat1_1.nii.gz,2199,42463,25.0,trm_4f24112057e90,cnt_55a3034ca0943,,categorization task,percent correct,2199-42463_rand_1_1_tstat1_1.nii.gz,"collection_id    2199
collection_id    2199
Name: 1091, dtype: object-42463","29107769.0-collection_id    2199
collection_id    2199
Name: 1091, dtype: object-42463"
29107769.0,,10.1016/j.neuroimage.2017.10.057,,2199,The evaluative role of Rostrolateral prefrontal cortex in rule-based category learning,neurovault,Rule Application Matching > Classification,T,images/2199/rand_1_3_tstat1_1.nii.gz,2199,42467,25.0,trm_4f24112057e90,cnt_55a3034ca0943,,categorization task,percent correct,2199-42467_rand_1_3_tstat1_1.nii.gz,"collection_id    2199
collection_id    2199
Name: 1092, dtype: object-42467","29107769.0-collection_id    2199
collection_id    2199
Name: 1092, dtype: object-42467"
29078345.0,5715758.0,10.1073/pnas.1710521114,,2969,Default mode contributions to automated information processing,neurovault,DAN Acquisition and Reaction Time to Correct Responses,T,images/2969/DAN_Acquisition_RT_unthresholded_spmT.nii.gz,2969,55591,28.0,tsk_4a57abb949f21,Other,Acquisition,Wisconsin card sorting test,Other,2969-55591_DAN_Acquisition_RT_unthresholded_spmT.nii.gz,"collection_id    2969
collection_id    2969
Name: 1093, dtype: object-55591","29078345.0-collection_id    2969
collection_id    2969
Name: 1093, dtype: object-55591"
29078345.0,5715758.0,10.1073/pnas.1710521114,,2969,Default mode contributions to automated information processing,neurovault,DMN Application,T,images/2969/DMN_Application_Positive_unthresholded_spmT.nii.gz,2969,55590,28.0,tsk_4a57abb949f21,Other,Application,Wisconsin card sorting test,Other,2969-55590_DMN_Application_Positive_unthresholded_spmT.nii.gz,"collection_id    2969
collection_id    2969
Name: 1094, dtype: object-55590","29078345.0-collection_id    2969
collection_id    2969
Name: 1094, dtype: object-55590"
29078345.0,5715758.0,10.1073/pnas.1710521114,,2969,Default mode contributions to automated information processing,neurovault,Acquisition vs Application 2,T,images/2969/Application_greater_than_Acquisition_unthresholded_spmT.nii.gz,2969,55585,28.0,tsk_4a57abb949f21,Other,Application > Acquisition,Wisconsin card sorting test,Other,2969-55585_Application_greater_than_Acquisition_unthresholded_spmT.nii.gz,"collection_id    2969
collection_id    2969
Name: 1095, dtype: object-55585","29078345.0-collection_id    2969
collection_id    2969
Name: 1095, dtype: object-55585"
29078345.0,5715758.0,10.1073/pnas.1710521114,,2969,Default mode contributions to automated information processing,neurovault,DMN Acquisition,T,images/2969/DMN_Acquisition_Positive_unthresholded_spmT.nii.gz,2969,55589,28.0,tsk_4a57abb949f21,Other,Acquisition,Wisconsin card sorting test,Other,2969-55589_DMN_Acquisition_Positive_unthresholded_spmT.nii.gz,"collection_id    2969
collection_id    2969
Name: 1096, dtype: object-55589","29078345.0-collection_id    2969
collection_id    2969
Name: 1096, dtype: object-55589"
29078345.0,5715758.0,10.1073/pnas.1710521114,,2969,Default mode contributions to automated information processing,neurovault,DAN Acquisition,T,images/2969/DAN_Acquisition_Positive_unthresholded_spmT.nii.gz,2969,55586,28.0,tsk_4a57abb949f21,Other,Acquisition,Wisconsin card sorting test,Other,2969-55586_DAN_Acquisition_Positive_unthresholded_spmT.nii.gz,"collection_id    2969
collection_id    2969
Name: 1097, dtype: object-55586","29078345.0-collection_id    2969
collection_id    2969
Name: 1097, dtype: object-55586"
29078345.0,5715758.0,10.1073/pnas.1710521114,,2969,Default mode contributions to automated information processing,neurovault,DAN Application,T,images/2969/DAN_Application_Positive_unthresholded_spmT.nii.gz,2969,55587,28.0,tsk_4a57abb949f21,Other,Application,Wisconsin card sorting test,Other,2969-55587_DAN_Application_Positive_unthresholded_spmT.nii.gz,"collection_id    2969
collection_id    2969
Name: 1098, dtype: object-55587","29078345.0-collection_id    2969
collection_id    2969
Name: 1098, dtype: object-55587"
29107771.0,,10.1016/j.neuroimage.2017.10.059,,3085,Overlapping frontoparietal networks for tactile and visual parametric working memory representations,neurovault,Searchlight multivariate Decoding 1: tactile working memory ,T,images/3085/spmT_0004.nii.gz,3085,55615,20.0,tsk_4a57abb9499e3,Other,Prediction performance (indicated by Fisher z-transformed correlation coefficient) against zero,delayed match to sample task,Other,3085-55615_spmT_0004.nii.gz,"collection_id    3085
collection_id    3085
Name: 1099, dtype: object-55615","29107771.0-collection_id    3085
collection_id    3085
Name: 1099, dtype: object-55615"
29107771.0,,10.1016/j.neuroimage.2017.10.059,,3085,Overlapping frontoparietal networks for tactile and visual parametric working memory representations,neurovault,Searchlight multivariate Decoding 2: visual working memory,T,images/3085/spmT_0003.nii.gz,3085,55616,20.0,tsk_4a57abb9499e3,Other,,delayed match to sample task,Other,3085-55616_spmT_0003.nii.gz,"collection_id    3085
collection_id    3085
Name: 1100, dtype: object-55616","29107771.0-collection_id    3085
collection_id    3085
Name: 1100, dtype: object-55616"
30344017.0,,10.1016/j.cmet.2018.09.024,,2980,Neurocognitive and Hormonal Correlates of Voluntary Weight Loss in Humans,neurovault,Figure5C_month1vsbaselinenegativeleptincorrelation.nii,T,images/2980/Figure5C_month1vsbaselinenegativeleptincorrelation.nii.gz,2980,55684,20.0,trm_55c686e0824e8,Other,Food minus Scenery ,Single item food choice task,Other,2980-55684_Figure5C_month1vsbaselinenegativeleptincorrelation.nii.gz,"collection_id    2980
collection_id    2980
Name: 1101, dtype: object-55684","30344017.0-collection_id    2980
collection_id    2980
Name: 1101, dtype: object-55684"
30344017.0,,10.1016/j.cmet.2018.09.024,,2980,Neurocognitive and Hormonal Correlates of Voluntary Weight Loss in Humans,neurovault,Figure3A_month1vsbaselinewithweightlosscorrelation_foodminusscenery_tmap,T,images/2980/Figure3A_month1vsbaselinewithweightlosscorrelation.nii.gz,2980,55680,20.0,trm_55c686e0824e8,Other,Food minus Scenery ,Single item food choice task,Other,2980-55680_Figure3A_month1vsbaselinewithweightlosscorrelation.nii.gz,"collection_id    2980
collection_id    2980
Name: 1102, dtype: object-55680","30344017.0-collection_id    2980
collection_id    2980
Name: 1102, dtype: object-55680"
30344017.0,,10.1016/j.cmet.2018.09.024,,2980,Neurocognitive and Hormonal Correlates of Voluntary Weight Loss in Humans,neurovault,Figure5E_month1vsbaselineghrelincorrelation.nii,T,images/2980/Figure5E_month1vsbaselineghrelincorrelation.nii.gz,2980,55685,20.0,trm_55c686e0824e8,Other,Food minus Scenery ,Single item food choice task,Other,2980-55685_Figure5E_month1vsbaselineghrelincorrelation.nii.gz,"collection_id    2980
collection_id    2980
Name: 1103, dtype: object-55685","30344017.0-collection_id    2980
collection_id    2980
Name: 1103, dtype: object-55685"
27171199.0,4907691.0,10.7554/eLife.15192,,3396,"Instructed knowledge shapes feedback-driven aversive learning in striatum and orbitofrontal cortex, but not the amygdala",neurovault,Instruction-based expected value: Instructed Group (all subjects),T,images/3396/rob_tmap_0001_3.nii.gz,3396,60320,30.0,tsk_4a57abb949d4e,Other,"Correlation with parametric modulator for instructed expected value, based on instructed learning model fit to SCR from 20 learners in Instructed Group.",reversal learning task,Other,3396-60320_rob_tmap_0001_3.nii.gz,"collection_id    3396
collection_id    3396
Name: 1104, dtype: object-60320","27171199.0-collection_id    3396
collection_id    3396
Name: 1104, dtype: object-60320"
25378157.0,4220024.0,10.1523/JNEUROSCI.0204-14.2014,,2395,Episodic Memory Encoding Interferes with Reward Learning and Decreases Striatal Prediction Errors,neurovault,Psychophysiological interaction (PPI) of hippocampus and memory encoding success during reward learning,T,images/2395/spmT_0001_4.nii.gz,2395,43850,24.0,trm_5696b180169bd,,PPI connectivity analysis:  memory success-related modulation of connectivity between the left hippocampus and whole-brain activity.,Volatile Bandit,None / Other,2395-43850_spmT_0001_4.nii.gz,"collection_id    2395
collection_id    2395
Name: 1105, dtype: object-43850","25378157.0-collection_id    2395
collection_id    2395
Name: 1105, dtype: object-43850"
29791298.0,6698144.0,10.1162/jocn_a_01286,,3474,The Influence of Dopamine on Cognitive Flexibility Is Mediated by Functional Connectivity in Young but Not Older Adults,neurovault,PPI task switch vs repeat negative regression with switch cost,T,images/3474/spmT_0002.nii.gz,3474,60567,36.0,tsk_4a57abb949e8a,cnt_4bd1ec505dd14,,task-switching ,switch trial - repeat trial = switch cost,3474-60567_spmT_0002.nii.gz,"collection_id    3474
collection_id    3474
Name: 1106, dtype: object-60567","29791298.0-collection_id    3474
collection_id    3474
Name: 1106, dtype: object-60567"
30891491.0,6415955.0,10.1126/sciadv.aau3413,,3736,The neural circuitry of affect-induced distortions of trust,neurovault,Main Effect of Threat (No Threat vs Threat),T,images/3736/spmT_0014.nii.gz,3736,65445,41.0,trm_553e88a66b676,Other,Effect of threat: No Threat vs Threat,social bargaining fMRI task,Other,3736-65445_spmT_0014.nii.gz,"collection_id    3736
collection_id    3736
Name: 1107, dtype: object-65445","30891491.0-collection_id    3736
collection_id    3736
Name: 1107, dtype: object-65445"
29964188.0,,10.1016/j.neuroimage.2018.06.074,,3158,Meaningful inhibition: Exploring the role of meaning and modality in response inhibition,neurovault,Figure 2. Semantic and Perceptual Inhibition Overlap,Z,images/3158/u_SemPerInhibOverlap.nii.gz,3158,57054,27.0,tsk_4a57abb949a93,Other,Conjunction of Semantic No Go > Go and Perceptual No Go > Go results,go/no-go task,Other,3158-57054_u_SemPerInhibOverlap.nii.gz,"collection_id    3158
collection_id    3158
Name: 1109, dtype: object-57054","29964188.0-collection_id    3158
collection_id    3158
Name: 1109, dtype: object-57054"
29518712.0,6014584.0,10.1016/j.dcn.2018.01.012,,2039,Not Just Social Sensitivity: Adolescent neural suppression of social feedback during risk taking,neurovault,Age-related changes in Increasing Social Risk Neural Effects,T,images/2039/0001_T_Con.nii.gz,2039,39174,55.0,trm_4d559bcd67c18,cnt_55399f8675b23,,balloon analogue risk task,pumps parametric,2039-39174_0001_T_Con.nii.gz,"collection_id    2039
collection_id    2039
Name: 1110, dtype: object-39174","29518712.0-collection_id    2039
collection_id    2039
Name: 1110, dtype: object-39174"
27171199.0,4907691.0,10.7554/eLife.15192,,3396,"Instructed knowledge shapes feedback-driven aversive learning in striatum and orbitofrontal cortex, but not the amygdala",neurovault,Instruction-based expected value: Instructed Learners,T,images/3396/rob_tmap_0001_2.nii.gz,3396,60319,20.0,tsk_4a57abb949d4e,Other,"Correlation with parametric modulator for instructed expected value, based on instructed learning model fit to SCR from 20 learners in Instructed Group.",reversal learning task,Other,3396-60319_rob_tmap_0001_2.nii.gz,"collection_id    3396
collection_id    3396
Name: 1111, dtype: object-60319","27171199.0-collection_id    3396
collection_id    3396
Name: 1111, dtype: object-60319"
29131744.0,5797691.0,10.1162/jocn_a_01206,,3102,Not Doomed to Repeat: Enhanced Medial Prefrontal Cortex Tracking of Errors Promotes Adaptive Behavior during Adolescence,neurovault,Main Effect: Parametric Tracking of Accumulating Errors during Go Trials,T,images/3102/0001_T_Go_PM_pos.nii.gz,3102,55910,55.0,tsk_4a57abb949e1a,Other,Parametric Modulation of Go Trials,stop signal task,Other,3102-55910_0001_T_Go_PM_pos.nii.gz,"collection_id    3102
collection_id    3102
Name: 1112, dtype: object-55910","29131744.0-collection_id    3102
collection_id    3102
Name: 1112, dtype: object-55910"
29437891.0,5858598.0,,,3554,Abstract memory representations in the ventromedial prefrontal cortex and hippocampus support concept generalization,pubmed,Prototype model correlates,Z,images/3554/zstat1.nii.gz,3554,61824,29.0,trm_4f24112057e90,cnt_55a3034ca0943,prototype model predictor versus implicit baseline,categorization task,percent correct,3554-61824_zstat1.nii.gz,"collection_id    3554
collection_id    3554
Name: 1113, dtype: object-61824","29437891.0-collection_id    3554
collection_id    3554
Name: 1113, dtype: object-61824"
29131744.0,5797691.0,10.1162/jocn_a_01206,,3102,Not Doomed to Repeat: Enhanced Medial Prefrontal Cortex Tracking of Errors Promotes Adaptive Behavior during Adolescence,neurovault,Regression: Total False Alarm Rate on Parametric Tracking of Accumulating Errors during Go Trials,T,images/3102/0001_T_Con.nii.gz,3102,55911,55.0,tsk_4a57abb949e1a,Other,Parametric Modulation of Go Trials,stop signal task,Other,3102-55911_0001_T_Con.nii.gz,"collection_id    3102
collection_id    3102
Name: 1114, dtype: object-55911","29131744.0-collection_id    3102
collection_id    3102
Name: 1114, dtype: object-55911"
29131744.0,5797691.0,10.1162/jocn_a_01206,,3102,Not Doomed to Repeat: Enhanced Medial Prefrontal Cortex Tracking of Errors Promotes Adaptive Behavior during Adolescence,neurovault,Regression: SSRT on Parametric Tracking of Accumulating Errors during Go Trials,T,images/3102/0001_T_Con_1.nii.gz,3102,55912,55.0,tsk_4a57abb949e1a,Other,Parametric Modulation of Go Trials,stop signal task,Other,3102-55912_0001_T_Con_1.nii.gz,"collection_id    3102
collection_id    3102
Name: 1115, dtype: object-55912","29131744.0-collection_id    3102
collection_id    3102
Name: 1115, dtype: object-55912"
30154703.0,6102316.0,,,4075,Interpretation of Social Interactions: Functional Imaging of Cognitive-Semiotic Categories During Naturalistic Viewing,pubmed,spmT habitual vs unresolved,T,images/4075/spmT_habitual_vs_unresolved.nii.gz,4075,65815,16.0,trm_4c898da401420,,,film viewing,None / Other,4075-65815_spmT_habitual_vs_unresolved.nii.gz,"collection_id    4075
collection_id    4075
Name: 1116, dtype: object-65815","30154703.0-collection_id    4075
collection_id    4075
Name: 1116, dtype: object-65815"
29964188.0,,10.1016/j.neuroimage.2018.06.074,,3158,Meaningful inhibition: Exploring the role of meaning and modality in response inhibition,neurovault,Figure 3. Semantic > Perceptual,Z,images/3158/u_AllSemOvAllPer.nii.gz,3158,57055,27.0,tsk_4a57abb949a93,Other,Semantic > Perceptual Trials,go/no-go task,Other,3158-57055_u_AllSemOvAllPer.nii.gz,"collection_id    3158
collection_id    3158
Name: 1117, dtype: object-57055","29964188.0-collection_id    3158
collection_id    3158
Name: 1117, dtype: object-57055"
30106968.0,6091917.0,10.1371/journal.pone.0201237,,3168,fMRI repetition suppression reveals no sensitivity to trait judgments from faces in face perception or theory-of-mind networks,neurovault,Novel_FaceTrait > Repeated_FaceTrait,T,images/3168/spmT_0001.nii.gz,3168,57131,28.0,trm_553eb45e2b709,Other,Novel_FaceTrait > Repeated_FaceTrait,social judgment of faces task,Other,3168-57131_spmT_0001.nii.gz,"collection_id    3168
collection_id    3168
Name: 1118, dtype: object-57131","30106968.0-collection_id    3168
collection_id    3168
Name: 1118, dtype: object-57131"
30060134.0,,,,3173,Stress impairs episodic retrieval by disrupting hippocampal and cortical mechanisms of remembering,pubmed,Mnemonic status by group interaction,Z,images/3173/zstat1.nii.gz,3173,57137,44.0,trm_4fba85a597ca9,Other,HC associative hit > CR for control > stress,delayed memory task,Other,3173-57137_zstat1.nii.gz,"collection_id    3173
collection_id    3173
Name: 1119, dtype: object-57137","30060134.0-collection_id    3173
collection_id    3173
Name: 1119, dtype: object-57137"
30060134.0,,,,3173,Stress impairs episodic retrieval by disrupting hippocampal and cortical mechanisms of remembering,pubmed,Control: HC associative hit > CR,Z,images/3173/zstat1_1.nii.gz,3173,57138,22.0,trm_4fba85a597ca9,Other,Associative hit > CR,delayed memory task,Other,3173-57138_zstat1_1.nii.gz,"collection_id    3173
collection_id    3173
Name: 1120, dtype: object-57138","30060134.0-collection_id    3173
collection_id    3173
Name: 1120, dtype: object-57138"
30060134.0,,,,3173,Stress impairs episodic retrieval by disrupting hippocampal and cortical mechanisms of remembering,pubmed,Stress: HC associative hit > CR,Z,images/3173/zstat1_2.nii.gz,3173,57139,22.0,trm_4fba85a597ca9,Other,Associative hit > CR,delayed memory task,Other,3173-57139_zstat1_2.nii.gz,"collection_id    3173
collection_id    3173
Name: 1121, dtype: object-57139","30060134.0-collection_id    3173
collection_id    3173
Name: 1121, dtype: object-57139"
